"","Country","Date","Recovered"
"335","Andorra",2020-03-23,0
"336","Andorra",2020-03-24,0
"337","Andorra",2020-03-25,0
"338","Andorra",2020-03-26,0
"339","Andorra",2020-03-27,0
"340","Andorra",2020-03-28,0
"341","Andorra",2020-03-29,0
"342","Andorra",2020-03-30,0
"343","Andorra",2020-03-31,0
"344","Andorra",2020-04-01,0
"345","Andorra",2020-04-02,0
"346","Andorra",2020-04-03,0
"347","Andorra",2020-04-04,0
"348","Andorra",2020-04-05,0
"349","Andorra",2020-04-06,0
"350","Andorra",2020-04-07,0
"351","Andorra",2020-04-08,0
"352","Andorra",2020-04-09,0
"353","Andorra",2020-04-10,0
"354","Andorra",2020-04-11,0
"355","Andorra",2020-04-12,0
"356","Andorra",2020-04-13,0
"357","Andorra",2020-04-14,0
"358","Andorra",2020-04-15,0
"359","Andorra",2020-04-16,0
"360","Andorra",2020-04-17,0
"361","Andorra",2020-04-18,0
"362","Andorra",2020-04-19,0
"363","Andorra",2020-04-20,0
"364","Andorra",2020-04-21,0
"365","Andorra",2020-04-22,0
"366","Andorra",2020-04-23,0
"367","Andorra",2020-04-24,0
"368","Andorra",2020-04-25,0
"369","Andorra",2020-04-26,0
"370","Andorra",2020-04-27,0
"371","Andorra",2020-04-28,0
"372","Andorra",2020-04-29,0
"373","Andorra",2020-04-30,0
"374","Andorra",2020-05-01,0
"375","Andorra",2020-05-02,0
"376","Andorra",2020-05-03,0
"377","Andorra",2020-05-04,0
"378","Andorra",2020-05-05,0
"379","Angola",2020-01-01,0
"380","Angola",2020-01-02,0
"381","Angola",2020-01-03,0
"382","Angola",2020-01-04,0
"383","Angola",2020-01-05,0
"384","Angola",2020-01-06,0
"385","Angola",2020-01-07,0
"386","Angola",2020-01-08,0
"387","Angola",2020-01-09,0
"388","Angola",2020-01-10,0
"389","Angola",2020-01-11,0
"390","Angola",2020-01-12,0
"391","Angola",2020-01-13,0
"392","Angola",2020-01-14,0
"393","Angola",2020-01-15,0
"394","Angola",2020-01-16,0
"395","Angola",2020-01-17,0
"396","Angola",2020-01-18,0
"397","Angola",2020-01-19,0
"398","Angola",2020-01-20,0
"399","Angola",2020-01-21,0
"400","Angola",2020-01-22,0
"401","Angola",2020-01-23,0
"402","Angola",2020-01-24,0
"403","Angola",2020-01-25,0
"404","Angola",2020-01-26,0
"405","Angola",2020-01-27,0
"406","Angola",2020-01-28,0
"407","Angola",2020-01-29,0
"408","Angola",2020-01-30,0
"409","Angola",2020-01-31,0
"410","Angola",2020-02-01,0
"411","Angola",2020-02-02,0
"412","Angola",2020-02-03,0
"413","Angola",2020-02-04,0
"414","Angola",2020-02-05,0
"415","Angola",2020-02-06,0
"416","Angola",2020-02-07,0
"417","Angola",2020-02-08,0
"418","Angola",2020-02-09,0
"419","Angola",2020-02-10,0
"420","Angola",2020-02-11,0
"421","Angola",2020-02-12,0
"422","Angola",2020-02-13,0
"423","Angola",2020-02-14,0
"424","Angola",2020-02-15,0
"425","Angola",2020-02-16,0
"426","Angola",2020-02-17,0
"427","Angola",2020-02-18,0
"428","Angola",2020-02-19,0
"429","Angola",2020-02-20,0
"430","Angola",2020-02-21,0
"431","Angola",2020-02-22,0
"432","Angola",2020-02-23,0
"433","Angola",2020-02-24,0
"434","Angola",2020-02-25,0
"435","Angola",2020-02-26,0
"436","Angola",2020-02-27,0
"437","Angola",2020-02-28,0
"438","Angola",2020-02-29,0
"439","Angola",2020-03-01,0
"440","Angola",2020-03-02,0
"441","Angola",2020-03-03,0
"442","Angola",2020-03-04,0
"443","Angola",2020-03-05,0
"444","Angola",2020-03-06,0
"445","Angola",2020-03-07,0
"446","Angola",2020-03-08,0
"447","Angola",2020-03-09,0
"448","Angola",2020-03-10,0
"449","Angola",2020-03-11,0
"450","Angola",2020-03-12,0
"451","Angola",2020-03-13,0
"452","Angola",2020-03-14,0
"453","Angola",2020-03-15,0
"454","Angola",2020-03-16,0
"455","Angola",2020-03-17,0
"456","Angola",2020-03-18,0
"457","Angola",2020-03-19,0
"458","Angola",2020-03-20,0
"459","Angola",2020-03-21,0
"460","Angola",2020-03-22,0
"461","Angola",2020-03-23,0
"462","Angola",2020-03-24,0
"463","Angola",2020-03-25,0
"464","Angola",2020-03-26,0
"465","Angola",2020-03-27,0
"466","Angola",2020-03-28,0
"467","Angola",2020-03-29,0
"468","Angola",2020-03-30,0
"469","Angola",2020-03-31,0
"470","Angola",2020-04-01,0
"471","Angola",2020-04-02,0
"472","Angola",2020-04-03,0
"473","Angola",2020-04-04,0
"474","Angola",2020-04-05,0
"475","Angola",2020-04-06,0
"476","Angola",2020-04-07,0
"477","Angola",2020-04-08,0
"478","Angola",2020-04-09,0
"479","Angola",2020-04-10,0
"480","Angola",2020-04-11,0
"481","Angola",2020-04-12,0
"482","Angola",2020-04-13,0
"483","Angola",2020-04-14,0
"484","Angola",2020-04-15,0
"485","Angola",2020-04-16,0
"486","Angola",2020-04-17,0
"487","Angola",2020-04-18,0
"488","Angola",2020-04-19,0
"489","Angola",2020-04-20,0
